Title,Genre(s),Developer(s),Publisher(s)
Travis Strikes Again: No More Heroes,Action-adventurehack and slash,Grasshopper Manufacture,NA: Xseed GamesWW: Marvelous
Treadnauts,Fighting,Topstitch Games,Topstitch Games
Trials of Mana Remake,Action role-playing,Square Enix,Square Enix
Trials Fusion,Racingplatform,RedLynx,Ubisoft
Trials of the Blood Dragon,Platform,RedLynx,Ubisoft
Trials Rising,Racingplatform,RedLynx,Ubisoft
Tricky Towers,"Party, puzzle",WeirdBeard,WeirdBeard
Trine: Enchanted Edition,Platformpuzzle,Frozenbyte,Frozenbyte
Trine 2: Complete Story,Platformpuzzle,Frozenbyte,Frozenbyte
Trine 3: The Artifacts of Power,Platformpuzzle,Frozenbyte,Frozenbyte
Trine 4: The Nightmare Prince,Platformpuzzle,Frozenbyte,Modus Games
Trivial Pursuit Live!,Board game,Longtail Studios,Ubisoft
Tron RUN/r,Platform,Sanzaru Games,Disney Interactive
Tropico 5,Simulation,Haemimont Games,JP: Square EnixWW: Kalypso Media
Tropico 6,Simulation,Limbic Entertainment,JP: Square EnixWW: Kalypso Media
Trover Saves the Universe,Adventure,Squanch Games,Squanch Games
Trüberbrook,Adventure,btf,Headup Games
Truck Driver,Vehicle simulation game,Triangle Studios,Soedesco
Tsukihime: A Piece of Blue Glass Moon,Visual novel,Type-Moon,Type-Moon
TT Isle of Man: Ride on the Edge,Racing,Kylotonn,Bigben Interactive
TT Isle of Man: Ride on the Edge 2,Racing,Kylotonn,Bigben Interactive
TumbleSeed,Actionpuzzle,Benedict Fritz,aeiowu
Tumblestone,Puzzle,TQAG,TQAG
Tunche,Beat 'em up,LEAP Game Studios,HypeTrain Digital
The Turing Test,Adventurepuzzle,Bulkhead Interactive,Square Enix Collective
Turrican Anthology Vol. I,Run and gun,Factor 5,Strictly Limited Games
Turrican Anthology Vol. II,Run and gun,Factor 5,Strictly Limited Games
Turrican Flashback,Run and gun,Factor 5,ININ Games
Twin Mirror,Adventure,Dontnod Entertainment,Dontnod Entertainment
Twin Robots,Platform,Thinice Games,Ratalaika Games
Two Parsecs From Earth,"Action, metroidvania",ABX Games Studios,Ratalaika Games
Two Point Hospital,Business simulation,Two Point Studios,Sega
Ty the Tasmanian Tiger HD,Platform,Krome Studios,Krome Studios
Ty the Tasmanian Tiger 2: Bush Rescue HD,Platform,Krome Studios,Krome Studios
Type: Rider,Platform,Ex-Nihilo,Arte
Typoman,Platformpuzzle,Brainseed Factory,Brainseed Factory
Ultimate Chicken Horse,Platform,Clever Endeavour,Clever Endeavour
Ultimate Fishing Simulator,Fishingsimulation,Bit GolemConsole Labs,PlayWay
Ultimate Fishing Simulator 2,Fishingsimulation,MasterCode,Ultimate Games
Ultimate Marvel vs. Capcom 3,Fighting,Capcom / Eighting,Capcom
Ultimate Racing 2D,Racing,Applimazing,Applimazing
Ultra Hat Dimension,Puzzle,Kitsune Games,JP: Ratalaika GamesWW: Kitsune Games
Ultra Street Fighter IV,Fighting,Other Ocean Interactive,Capcom
Ultratron,Shoot 'em up,Puppy Games,Curve Digital
Ultrawings Flat,Simulation,Bit Planet Games,Bit Planet Games
Umbrella Corps,Action,Capcom,Capcom
Umihara Kawase BaZooKa,Fighting,Studio Saizensen,JP: SuccessWW: Inin Games
Umihara Kawase Fresh!,Platform,Studio Saizensen,JP: SuccessEU: Nicalis
Umineko When They Cry,Visual novel,07th Expansion,Entergram
Unbox: Newbie's Adventure,"Adventure, platform",Prospect Games,Sold Out
The Uncertain: Light at the End,Adventure,New Game Order,META Publishing
Uncharted 4: A Thief's End,Action-adventure,Naughty Dog,Sony Interactive Entertainment
Uncharted: The Lost Legacy,Action-adventure,Naughty Dog,Sony Interactive Entertainment
Uncharted: The Nathan Drake Collection,Action-adventure,Naughty Dog,Sony Computer Entertainment
Uncharted Tides: Port Royal,Puzzlehidden object,Artifex Mundi,Artifex Mundi
Uncharted Waters Online: Gran Atlas,MMORPG,Koei Tecmo,Koei Tecmo
Undead Darlings: No Cure for Love,Role-playing,Mr. Tired Media,Sekai Games
Undead Horde,Role-playingreal-time strategy,10tons,10tons
Underhero,Role-playingPlatform,Paper CastleStage Clear Studios,Digerati
Undernauts: Labyrinth of Yomi,Role-playing,Experience,JP: ExperienceWW: Aksys Games
Under Night In-Birth Exe:Late cl-r,Fighting,French Bread,Aksys Games
Under Night In-Birth Exe:Latest,Fighting,French Bread,Aksys Games
Undertale,Role-playing,Toby Fox,8-4
Undying,Survival,Vanimals,Vanimals
Unepic,Platformrole-playing,EnjoyUp Games,EnjoyUp Games
The Unfinished Swan,Puzzle,Giant Sparrow,Sony Computer Entertainment
Unholy Heights,Tower defense,Mebius,Teyon
Unmechanical: Extended,Platformpuzzle,Grip Games,Grip Games
Uno,Card & board,Ubisoft Chengdu,Ubisoft
Uno Flip!,Card & board,Ubisoft Chengdu,Ubisoft
Unrailed!,Actionparty,Indoor Astronaut,Daedalic Entertainment
Unravel,Puzzle-platform,ColdWood Interactive,Electronic Arts
Unravel Two,Puzzle-platform,Coldwood Interactive,Electronic Arts
Unruly Heroes,Platform,Magic Design Studios,Magic Design Studios
Until Dawn,Interactive drama,Supermassive Games,Sony Computer Entertainment
Until You Fall,"Hack and slash, roguelite",Schell Games,Schell Games
Untitled Goose Game,Puzzlestealth,House House,Panic
Unto The End,Action-adventure,2 Ton Studios,Big Sugar
Unturned,Survival,Smartly Dressed Games,505 Games
unWorded,Puzzle,Bento Studio,Bento Studio
Urban Legend in Limbo,Fighting,Twilight Frontier,Twilight Frontier
Uppers,Beat 'em up,Honey∞Parade Games,Marvelous
Use Your Words,Party,Smiling Buddha Games,Screenwave Media
Utawarerumono: Mask of Deception,"Tactical role-playing, visual novel",Aquaplus,NA: Atlus USAEU: Deep Silver
Utawarerumono: Mask of Truth,"Tactical role-playing, visual novel",Aquaplus,NA: Atlus USAEU: Deep Silver
Utawarerumono: Prelude to the Fallen,"Tactical role-playing, visual novel",Aquaplus,NIS America
Utawarerumono: Zan,"Action, brawler",AquaplusTamsoft,NIS America
Utawarerumono: Zan 2,"Action, brawler",Aquaplus,Aquaplus
VA-11 Hall-A: Cyberpunk Bartender Action,"Simulation, visual novel",Sukeban Games,Ysbryd Games
Valentino Rossi: The Game,Racing,Milestone srl,Milestone srl
Valfaris,Actionplatform,Steel Mantis,JP: EastAsiaSoftWW: Digital Uppercut
Valhalla Hills: Definitive Edition,Adventurepuzzle,Daedalic Entertainment,Kalypso
Valiant Hearts: The Great War,"Adventure, puzzle",Ubisoft Montpellier,Ubisoft
Valkyria Chronicles 4,Tactical role-playing,Sega,Sega
Valkyria Chronicles Remastered,Tactical role-playing,Media.Vision,Sega
Valkyria Revolution,Tactical role-playing,Media.Vision,Sega
Valley,Action-adventure,Blue Isle Studios,Blue Isle Studios
Vanquish,Actionthird-person shooter,PlatinumGames,Sega
Vambrace: Cold Soul,Adventure,Devespresso Games,Headup Games
Vampire: The Masquerade – Bloodlines 2,Action role-playing,Hardsuit Labs,Paradox Interactive
Vampire: The Masquerade – Coteries of New York,Adventure,Draw Distance,Draw Distance
Vampire: The Masquerade – Shadows of New York,Visual novel,Draw Distance,Draw Distance
Vampire: The Masquerade – Swansong,Action role-playing,Big Bad Wolf,Nacon
Vampyr,Action role-playing,Dontnod Entertainment,Focus Home Interactive
Vane,Adventure,Friend & Foe Games,Friend & Foe Games
The Vanishing of Ethan Carter,Puzzle,The Astronauts,The Astronauts
Vaporum,Role-playing,Fatbot Games,Merge Games
Vaporum: Lockdown,Role-playing,Fatbot Games,Fatbot Games
Vasara Collection,Arcadeshoot 'em up,QUByte Interactive,QUByte Interactive
Vaster Claws III: Dragon Slayer of the God World ~Offline Ver.,Role-playing,StudioGIW,Mediascape
Velocity 2X,Shoot 'em up,FuturLab,FuturLab
Venture Towns,City-buildingsimulation,Kairosoft,Kairosoft
Vera Blanc: Full Moon,Visual novel,Winter Wolves,Ratalaika Games
Verdun,First-person shooter,M2HBlackmill Games,M2HBlackmill Games
VEV: Viva Ex Vivo,Adventuresurvival,Truant Pixel,Truant Pixel
Victor Vran,Action role-playing,Haemimont Games,Haemimont Games
Videoball,Sports,Action Button Entertainment,Iron Galaxy
Vigil: The Longest Night,Actionplatform,Glass Heart Games,Another Indie
Viking Squad,Beat 'em uprole-playing,Slick Entertainment,Slick Entertainment
Vikings: Wolves of Midgard,Action role-playing,Games Farm,Kalypso Media
Virginia,Adventure,Variable State,505 Games
Virtua Fighter 5: Ultimate Showdown,Fighting,Ryu Ga Gotoku StudioSega AM2,Sega
Virtuous Western,Puzzle Platformer,Ratalaika Games,Ratalaika Games
Visage,Survival horror,SadSquare Studio,SadSquare Studio
VizionEck Cube Royale,First-person shooter,VizionEck,VizionEck
Voice of Cards: The Forsaken Maiden,Role-playing,Alim,Square Enix
Voice of Cards: The Isle Dragon Roars,Role-playing,Alim,Square Enix
Void Bastards,First person shooterroguelike,Blue Munchu,Humble Bundle
Void Terrarium,Role-playingroguelike,Nippon Ichi Software,Nippon Ichi Software
Volgarr the Viking,Platform,Crazy Viking Studios,Crazy Viking Studios
Volume,Stealth,Mike Bithell Games,Mike Bithell Games
V-Rally 4,Racing,Kylotonn,Bigben Interactive
VVVtunia,Role-playing,Compile Heart,Idea Factory
VVVVVV,2D platform,Terry Cavanagh,Nicalis
The Walking Dead: Michonne,Graphic adventure,Telltale Games,Telltale Games
The Walking Dead: Season One,Graphic adventure,Telltale Games,Telltale Games
The Walking Dead: Season Two,Graphic adventure,Telltale Games,Telltale Games
The Walking Dead: Season Three,Graphic adventure,Telltale Games,Telltale Games
The Walking Dead: The Final Season,Graphic adventure,Telltale Games,Telltale Games
Wand Wars,Fightingparty,Moonradish,Moonradish
Wandersong,Adventurepuzzle,Greg Lobanov,Humble Bundle
War Mongrels,Real-time tactics,Destructive Creations,All in! Games
Warborn,Turn-based tactics,Raredrop Games,PQube
Warface: Breakout,Tactical shooter,Crytek Kiev,My.com
Wargroove,Turn-based tactics,Chucklefish,Chucklefish
"Warhammer 40,000: Deathwatch Tyranids Invasion",Turn-based strategy,Rodeo Games,Funbox Media
"Warhammer 40,000: Inquisitor – Martyr",Action role-playing,NeocoreGames,Bigben Interactive
"Warhammer 40,000: Mechanicus",Turn-based strategy,Bulwark Studios,Kasedo Games
"Warhammer 40,000: Space Wolf",Turn-based strategy,HeroCraft,HeroCraft
Warhammer Age of Sigmar: Storm Ground,Turn-based strategy,Gastket Games,Focus Home Interactive
Warhammer: Chaosbane,Action role-playing,Eko Software,Bigben Interactive
Warhammer: End Times – Vermintide,Action,Fatshark,Fatshark
Warhammer Quest,Role-playing,Rodeo Games,Chilled Mouse
Warhammer Quest 2: The End Times,Role-playing,Rodeo Games,Chilled Mouse
Warhammer: Vermintide 2,First-person shooter,Fatshark,Fatshark
Warlock's Tower,Puzzle,Midipixel,Ratalaika Games
Warparty,Real-time strategy,Crazy Monkey Studios,Crazy Monkey Studios
Warriors All-Stars,Actionhack and slash,Omega Force,Koei Tecmo
Warriors Orochi 3 Ultimate,Hack and slash,Omega Force,Koei Tecmo
Warriors Orochi 4,Hack and slash,Omega Force,Koei Tecmo
Warriors Orochi 4 Ultimate,Hack and slash,Omega Force,Koei Tecmo
Warsaw,Tactical role-playing,Crunching KoalasPixelated Milk,Gaming Company
Wartile,Strategy,Playwood Project,Deck13
Wasteland 2: Director's Cut,Role-playing,Obsidian Entertainment,inXile Entertainment
Wasteland 3,Role-playing,inXile Entertainment,inXile Entertainment
Watch Dogs,Action-adventure,Ubisoft Montreal,Ubisoft
Watch Dogs 2,Action-adventure,Ubisoft Montreal,Ubisoft
Watch Dogs: Legion,Action-adventure,Ubisoft Toronto,Ubisoft
Wattam,Action,Funomena,Annapurna Interactive
Way of Redemption,Actionsports,Pixel Cream,Pixel Cream
We Happy Few,Adventure,Compulsion Games,Gearbox Publishing
We. The Revolution,Adventure,Klabater,Poluslash
WeakWood Throne,Action role-playing,Drageus Games,Drageus Games
The Welkin World: Rebels,Action,Impermanence Studio,Impermanence Studio
Went: Refactor,Visual novel,Soul Smelt Studio,Indienova
Werewolf: The Apocalypse – Earthblood,Action role-playing,Cyanide Studio,Nacon
West of Dead,Twin-stick shooter,Upstream Arcade,Raw Fury
What Lies in the Multiverse,Adventure,Studio VoyagerIguanaBee,Untold Tales
What Remains of Edith Finch,"Open world, puzzle",Giant Sparrow,Annapurna Interactive
Wheels of Aurelia,Action,Santa Ragione,MixedBag
Wheel of Fortune,Card & Board,Frima Studios,Ubisoft
When the Past Was Around,Point and click adventure,Mojiken,Chorus Worldwide
Where the Water Tastes Like Wine,Adventure,Dim Bulb Games,Serenity Forge
Whispering Willows,Platform,Night Light Interactive,Loot Interactive
White Day: A Labyrinth Named School,Survival horror,Arc System Works,ROI Games
White Night,"Puzzle, survival horror",OSome Studio,Activision
White Noise 2,Horror,Milkstone Studios,Milkstone Studios
Who Wants to Be a Millionaire?,Card & Boardtrivia,Appeal Studios,Microids
Wild,Action-adventure,Wild Sheep Studio,Sony Interactive Entertainment
The Wild Eight,Survival,HypeTrain Digital,HypeTrain Digital
Wildfire,Stealth,Sneaky Bastards,Humble Games
Wild Guns Reloaded,Shooter,Natsume,Natsume
Will: A Wonderful World,Visual novel,WMY Studio,JP: PlayismWW: PM Studios
Willy Jetman: Astromonkey's Revenge,Shooter,Badland Games,Badland Games
Windbound,Adventuresurvival,5 Lives Studios,Deep Silver
Windjammers,"Fighting, sports",DotEmu,DotEmu
Wing of Darkness,Shoot 'em up,Production Exabilities,Clouded Leopard Entertainment
Winning Post 8 2016,Sports,Tecmo Koei,Tecmo Koei
Winning Post 8 2017,Sports,Koei Tecmo,Koei Tecmo
Winning Post 8 2018,Sports,Koei Tecmo,Koei Tecmo
Winning Post 9,Sports,Koei Tecmo,Koei Tecmo
Winning Post 9 2020,Sports,Koei Tecmo,Koei Tecmo
Winning Post 9 2021,Sports,Koei Tecmo,Koei Tecmo
Winning Post 9 2022,Sports,Koei Tecmo,Koei Tecmo
Wintermoor Tactics Club,Tactical role-playing,EVC,Versus Evil
The Witch and the Hundred Knight,Action role-playing,Nippon Ichi Software,Nippon Ichi Software
The Witch and the Hundred Knight 2,Action role-playing,Nippon Ichi Software,Nippon Ichi Software
The Witcher 3: Wild Hunt,Action role-playing,CD Projekt Red,CD Projekt Red
Wipeout Omega Collection,Racing,Sony XDev Europe,Sony Interactive Entertainment
Witch on the Holy Night,Visual novel,Type-Moon,Aniplex
The Witness,"Adventure, puzzle",Thekla,Thekla
Wizard of Legend,Dungeon crawlerroguelike,Contingent99,Humble Bundle
The Wolf Among Us,Graphic adventure,Telltale Games,Telltale Games
The Wolf Among Us 2,Graphic adventure,Telltale GamesAdHoc Studio,Telltale Games
Wolfenstein: The New Order,First-person shooter,MachineGames,Bethesda Softworks
Wolfenstein: The Old Blood,First-person shooter,MachineGames,Bethesda Softworks
Wolfenstein: Youngblood,First-person shooter,MachineGames,Bethesda Softworks
Wolfenstein II: The New Colossus,First-person shooter,MachineGames,Bethesda Softworks
Wonder Blade,Beat 'em up,East2WestGames,East2WestGames
Wonder Boy: Asha in Monster World,Action-adventureplatform,Artdink,JP: G ChoiceWW: Inin Games
Wonder Boy: The Dragon's Trap,Action-adventureplatform,Lizardcube,DotEmu
Wonder Boy Returns Remix,Action-adventureplatform,CFK,CFK
The Wonderful 101: Remastered,Action-adventurehack and slash,PlatinumGames,PlatinumGames
Wordhunters,Trivia,thumbfood,thumbfood
World Cruise Story,Simulation,Kairosoft,Kairosoft
World End Syndrome,Visual novel,Toybox,WW: Arc System WorksEU: PQube
World of Final Fantasy,Role-playing,Square Enix,Square Enix
World of Van Helsing: Deathtrap,Tower defenserole-playing,NeocoreGames,NeocoreGames
World of Warriors,Action,Saber Interactive,Sony Interactive Entertainment
World to the West,Action-adventure,Rain Games,Rain Games
World War Z,Third-person shooter,Saber Interactive,JP: H2 InteractiveWW: Focus Home Interactive
World War Z: Aftermath,First-person shooter,Saber Interactive,Saber Interactive
Worms Battlegrounds,Artillerystrategyturn-based,Team17,Team17
Worms Rumble,Battle royaleartillerystrategy,Team17,Team17
Worms W.M.D,Artillerystrategyturn-based,Team17,Team17
Worse Than Death,Adventurehorror,Benjamin Rivers,Benjamin Rivers
Wrath: Aeon of Ruin,First-person shooter,KillPixel Games,3D Realms1C Entertainment
WRC 5,Racingsimulation,Kylotonn,Bigben Interactive
WRC 6,Racingsimulation,Kylotonn,Bigben Interactive
WRC 7,Racingsimulation,Kylotonn,Bigben Interactive
WRC 8,Racingsimulation,Kylotonn,Bigben Interactive
WRC 9,Racingsimulation,Kylotonn,Bigben Interactive
WRC 10,Racingsimulation,Kylotonn,Nacon
Wreckfest,Racingvehicular combat,Bugbear Entertainment,THQ Nordic
Wulverblade,"Brawler, sidescroller",Darkwind Media,Darkwind Media
Wuppo,Platform,Knuist & Perzik,Soedesco
WWE 2K15,Sports,YukesVisual Concepts,2K Sports
WWE 2K16,Sports,YukesVisual Concepts,2K Sports
WWE 2K17,Sports,YukesVisual Concepts,2K Sports
WWE 2K18,Sports,YukesVisual Concepts,2K Sports
WWE 2K19,Sports,YukesVisual Concepts,2K Sports
WWE 2K20,Sports,Visual Concepts,2K Sports
WWE 2K Battlegrounds,Sports,Saber Interactive,2K Sports
XCOM 2,Turn-based tactics,Firaxis Games,Take-Two Interactive
Xeno Crisis,Top-down shooter,Bitmap Bureau,Bitmap Bureau
Xenon Racer,Racing,3D Clouds,Soedesco
Xenon Valkyrie+,Roguelite,CowCat,CowCat
Xenoraid,Shoot 'em up,10tons,10tons
XenoRaptor,Shoot 'em up,Peter Cleary,Digerati
Xeodrifter,Metroidvania,Renegade Kid,Gambitious Digital
XIII,First-person shooterstealth,PlayMagic,Microids
Xing: The Land Beyond,Puzzle,White Lotus,White Lotus
X-Morph: Defense,Shooterstrategytower defense,Exor Studios,Exor Studios
Xuan-Yuan Sword 7,Action role-playing,Softstar Entertainment,Softstar Entertainment
Yaga,Action role-playing,Breadcrumbs Interactive,Versus Evil
Yakuza 0,Action-adventure,Sega,Sega
Yakuza 3,Action-adventure,Sega,Sega
Yakuza 4,Action-adventure,Sega,Sega
Yakuza 5,Action-adventure,Sega,Sega
Yakuza 6: The Song of Life,Action-adventure,Sega,Sega
Yakuza Ishin,Action-adventure,Sega,Sega
Yakuza: Kiwami,Action,Sega,Sega
Yakuza Kiwami 2,Action-adventure,Sega,Sega
Yakuza: Like a Dragon,Role-playing,Sega,Sega
The Yakuza Remastered Collection,Action-adventure,Sega,Sega
Yesterday Origins,Adventure,Pendulo Studios,Anuman
YesterMorrow,Puzzle-platform,Bitmap Galaxy,Blowfish Studios
Yo-kai Watch 4++,Role-playing,Level-5,Level-5
Yo-kai Watch Jam: Yo-kai Academy Y,Role-playing,Level-5,Level-5
Yoku's Island Express,Adventureplatformpinball,Villa Gorilla,Team17
Yomawari 3,Survival horror,Nippon Ichi Software,Nippon Ichi Software
Yomawari: Midnight Shadows,Survival horror,Nippon Ichi Software,NIS America
Yonder: The Cloud Catcher Chronicles,Role-playing,Prideful Sloth,Prideful Sloth
Yooka-Laylee,3D platform,Playtonic Games,Team17
Yooka-Laylee and the Impossible Lair,3D platform,Playtonic Games,Team17
Ys: Memories of Celceta,Action role-playing,Nihon Falcom,JP: Nihon FalcomWW: Xseed Games
Ys Origin,Action role-playing,Nihon Falcom,JP: Nihon FalcomWW: Xseed Games
Ys VIII: Lacrimosa of Dana,Action role-playing,Nihon Falcom,JP: Nihon FalcomWW: NIS America
Ys IX: Monstrum Nox,Action role-playing,Nihon Falcom,JP: Nihon FalcomWW: NIS America
